Month_Index,Calendar_Year,Calendar_Quarter,NAD_per_USD
1,1,1,18.5
2,1,1,18.52
3,1,1,18.54
4,1,2,18.56
5,1,2,18.58
6,1,2,18.6
7,1,3,18.62
8,1,3,18.64
9,1,3,18.66
10,1,4,18.68
11,1,4,18.7
12,1,4,18.72
13,2,1,18.85
14,2,1,18.87
15,2,1,18.89
16,2,2,18.91
17,2,2,18.93
18,2,2,18.95
19,2,3,18.97
20,2,3,18.99
21,2,3,19.01
22,2,4,19.03
23,2,4,19.05
24,2,4,19.07
25,3,1,19.2
26,3,1,19.22
27,3,1,19.24
28,3,2,19.26
29,3,2,19.28
30,3,2,19.3
31,3,3,19.32
32,3,3,19.34
33,3,3,19.36
34,3,4,19.38
35,3,4,19.4
36,3,4,19.42
37,4,1,19.55
38,4,1,19.57
39,4,1,19.59
40,4,2,19.61
41,4,2,19.63
42,4,2,19.65
43,4,3,19.67
44,4,3,19.69
45,4,3,19.71
46,4,4,19.73
47,4,4,19.75
48,4,4,19.77
49,5,1,19.9
50,5,1,19.92
51,5,1,19.94
52,5,2,19.96
53,5,2,19.98
54,5,2,20.0
55,5,3,20.02
56,5,3,20.04
57,5,3,20.06
58,5,4,20.08
59,5,4,20.1
60,5,4,20.12
