Month_Index,CFO_NAD_000,CFADS_v1_NAD_000,CFADS_v2_NAD_000,Debt_Service_NAD_000,Closing_Balance,DSCR_v1,DSCR_v2,ICR,Total_Assets_NAD_000,LTV_Proxy,LLCR_v1,LLCR_v2,PLCR_v1,PLCR_v2
1,-1472.6388888888891,-1472.6388888888891,-1472.6388888888891,0.0,0.0,,,,11592.916666666666,0.0,,,,
2,-363.7500000000001,-363.7500000000001,-363.7500000000001,0.0,0.0,,,,19279.166666666664,0.0,,,,
3,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,0.0,0.0,,,,18250.083333333332,0.0,,,,
4,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,0.0,0.0,,,,19021.0,0.0,,,,
5,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,0.0,0.0,,,,19991.916666666664,0.0,,,,
6,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,0.0,0.0,,,,23462.83333333333,0.0,,,,
7,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,10833.333333333334,0.0,-0.0949923076923077,-0.0949923076923077,,24013.749999999996,0.0,,,,
8,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,10833.333333333334,0.0,-0.0949923076923077,-0.0949923076923077,,24300.666666666664,0.0,,,,
9,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,10833.333333333334,0.0,-0.0949923076923077,-0.0949923076923077,,23271.58333333333,0.0,,,,
10,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,10833.333333333334,0.0,-0.0949923076923077,-0.0949923076923077,,22242.499999999993,0.0,,,,
11,-1029.0833333333335,-1029.0833333333335,-1029.0833333333335,10833.333333333334,0.0,-0.0949923076923077,-0.0949923076923077,,21213.41666666666,0.0,,,,
12,-798.4166666666667,-798.4166666666667,-798.4166666666667,10833.333333333334,0.0,-0.0737,-0.0737,,20184.33333333333,0.0,,,,
13,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,19477.499999999996,0.0,,,,
14,-1052.8333333333333,-1052.8333333333333,-1052.8333333333333,10833.333333333334,0.0,-0.09718461538461537,-0.09718461538461537,,18424.666666666664,0.0,,,,
15,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,17717.83333333333,0.0,,,,
16,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,17010.999999999996,0.0,,,,
17,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,16304.16666666666,0.0,,,,
18,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,15597.333333333327,0.0,,,,
19,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,14890.499999999995,0.0,,,,
20,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,14183.666666666662,0.0,,,,
21,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,13476.833333333328,0.0,,,,
22,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,12769.999999999995,0.0,,,,
23,-706.8333333333333,-706.8333333333333,-706.8333333333333,10833.333333333334,0.0,-0.06524615384615383,-0.06524615384615383,,12063.166666666662,0.0,,,,
24,-709.7777777777777,-709.7777777777777,-709.7777777777777,10833.333333333334,0.0,-0.0655179487179487,-0.0655179487179487,,11356.33333333333,0.0,,,,
25,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,10615.916666666662,0.0,,,,
26,-736.0,-736.0,-736.0,10833.333333333334,0.0,-0.06793846153846153,-0.06793846153846153,,9879.916666666662,0.0,,,,
27,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,9139.499999999996,0.0,,,,
28,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,8399.083333333328,0.0,,,,
29,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,7658.6666666666615,0.0,,,,
30,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,6918.249999999995,0.0,,,,
31,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,6177.8333333333285,0.0,,,,
32,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,5437.4166666666615,0.0,,,,
33,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,4696.9999999999945,0.0,,,,
34,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,3956.583333333328,0.0,,,,
35,-740.4166666666667,-740.4166666666667,-740.4166666666667,10833.333333333334,0.0,-0.06834615384615385,-0.06834615384615385,,3216.166666666661,0.0,,,,
36,-743.4722222222223,-743.4722222222223,-743.4722222222223,10833.333333333334,0.0,-0.06862820512820512,-0.06862820512820512,,2475.7499999999936,0.0,,,,
37,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,1712.333333333327,0.0,,,,
38,-758.8333333333333,-758.8333333333333,-758.8333333333333,0.0,0.0,,,,953.499999999993,0.0,,,,
39,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,190.08333333332683,0.0,,,,
40,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-573.3333333333392,-0.0,,,,
41,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-1336.7500000000052,-0.0,,,,
42,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-2100.1666666666715,-0.0,,,,
43,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-2863.5833333333376,-0.0,,,,
44,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-3627.0000000000036,-0.0,,,,
45,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-4390.41666666667,-0.0,,,,
46,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-5153.833333333336,-0.0,,,,
47,-763.4166666666666,-763.4166666666666,-763.4166666666666,0.0,0.0,,,,-5917.250000000002,-0.0,,,,
48,-766.6388888888889,-766.6388888888889,-766.6388888888889,0.0,0.0,,,,-6680.666666666668,-0.0,,,,
49,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-7468.583333333334,-0.0,,,,
50,-783.0833333333334,-783.0833333333334,-783.0833333333334,0.0,0.0,,,,-8251.666666666666,-0.0,,,,
51,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-9039.583333333334,-0.0,,,,
52,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-9827.500000000002,-0.0,,,,
53,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-10615.41666666667,-0.0,,,,
54,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-11403.333333333338,-0.0,,,,
55,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-12191.250000000005,-0.0,,,,
56,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-12979.166666666673,-0.0,,,,
57,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-13767.083333333341,-0.0,,,,
58,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-14555.00000000001,-0.0,,,,
59,-787.9166666666667,-787.9166666666667,-787.9166666666667,0.0,0.0,,,,-15342.916666666677,-0.0,,,,
60,-565.8055555555557,-565.8055555555557,-565.8055555555557,0.0,0.0,,,,-16130.833333333343,-0.0,,,,
