Month_Index,Cash_and_Cash_Equivalents_NAD_000,AR_Balance_NAD_000,Inventory_Balance_NAD_000,AP_Balance_NAD_000,Revolver_Current_Liab_NAD_000,Current_Assets_NAD_000,Current_Liabilities_NAD_000,Total_Assets_NAD_000,Liabilities_and_Equity_Total_NAD_000,Cash_and_Cash_Equivalents_USD_000,AR_Balance_USD_000,Inventory_Balance_USD_000,AP_Balance_USD_000,Revolver_Current_Liab_USD_000,Current_Assets_USD_000,Current_Liabilities_USD_000,Total_Assets_USD_000,Liabilities_and_Equity_Total_USD_000
1,11149.361111111111,0.0,443.55555555555554,0.0,0.0,11592.916666666666,0.0,11592.916666666666,11592.916666666666,602.6681681681682,0.0,23.975975975975974,0.0,0.0,626.6441441441441,0.0,626.6441441441441,626.6441441441441
2,18835.61111111111,0.0,443.55555555555554,665.3333333333334,0.0,19279.166666666664,665.3333333333334,19279.166666666664,19279.166666666664,1017.0416366690664,0.0,23.950083993280536,35.92512598992081,0.0,1040.991720662347,35.92512598992081,1040.991720662347,1040.991720662347
3,17806.527777777777,0.0,443.55555555555554,665.3333333333334,0.0,18250.083333333332,665.3333333333334,18250.083333333332,18250.083333333332,960.4383914658996,0.0,23.924247872467937,35.88637180870191,0.0,984.3626393383674,35.88637180870191,984.3626393383674,984.3626393383674
4,18577.444444444445,0.0,443.55555555555554,665.3333333333334,0.0,19021.0,665.3333333333334,19021.0,19021.0,1000.9398946360154,0.0,23.89846743295019,35.84770114942529,0.0,1024.8383620689656,35.84770114942529,1024.8383620689656,1024.8383620689656
5,19548.36111111111,0.0,443.55555555555554,665.3333333333334,0.0,19991.916666666664,665.3333333333334,19991.916666666664,19991.916666666664,1052.1184666905872,0.0,23.872742494916878,35.80911374237532,0.0,1075.9912091855042,35.80911374237532,1075.9912091855042,1075.9912091855042
6,23019.277777777774,0.0,443.55555555555554,665.3333333333334,0.0,23462.83333333333,665.3333333333334,23462.83333333333,23462.83333333333,1237.5955794504177,0.0,23.84707287933094,35.770609318996414,0.0,1261.4426523297489,35.770609318996414,1261.4426523297489,1261.4426523297489
7,23570.19444444444,0.0,443.55555555555554,665.3333333333334,0.0,24013.749999999996,665.3333333333334,24013.749999999996,24013.749999999996,1265.8536221506145,0.0,23.82145840792457,35.73218761188686,0.0,1289.6750805585389,35.73218761188686,1289.6750805585389,1289.6750805585389
8,23857.11111111111,0.0,443.55555555555554,665.3333333333334,0.0,24300.666666666664,665.3333333333334,24300.666666666664,24300.666666666664,1279.8879351454457,0.0,23.795898903195038,35.693848354792564,0.0,1303.6838340486408,35.693848354792564,1303.6838340486408,1303.6838340486408
9,22828.027777777774,0.0,443.55555555555554,665.3333333333334,0.0,23271.58333333333,665.3333333333334,23271.58333333333,23271.58333333333,1223.3669763010596,0.0,23.77039418840062,35.65559128260093,0.0,1247.1373704894602,35.65559128260093,1247.1373704894602,1247.1373704894602
10,21798.944444444438,0.0,443.55555555555554,665.3333333333334,0.0,22242.499999999993,665.3333333333334,22242.499999999993,22242.499999999993,1166.9670473471326,0.0,23.744944087556508,35.617416131334764,0.0,1190.711991434689,35.617416131334764,1190.711991434689,1190.711991434689
11,20769.861111111106,0.0,443.55555555555554,665.3333333333334,0.0,21213.41666666666,665.3333333333334,21213.41666666666,21213.41666666666,1110.6877599524655,0.0,23.71954842543078,35.579322638146174,0.0,1134.4073083778962,35.579322638146174,1134.4073083778962,1134.4073083778962
12,19971.444444444438,0.0,212.88888888888886,665.3333333333334,0.0,20184.33333333333,665.3333333333334,20184.33333333333,20184.33333333333,1066.8506647673312,0.0,11.372269705603038,35.541310541310544,0.0,1078.2229344729342,35.541310541310544,1078.2229344729342,1078.2229344729342
13,19264.611111111106,0.0,212.88888888888886,665.3333333333334,0.0,19477.499999999996,665.3333333333334,19477.499999999996,19477.499999999996,1021.9952844090772,0.0,11.293840259357498,35.296198054818746,0.0,1033.2891246684349,35.296198054818746,1033.2891246684349,1033.2891246684349
14,18211.777777777774,0.0,212.88888888888886,319.3333333333333,0.0,18424.666666666664,319.3333333333333,18424.666666666664,18424.666666666664,965.118059235706,0.0,11.281870105399515,16.922805158099273,0.0,976.3999293411056,16.922805158099273,976.3999293411056,976.3999293411056
15,17504.944444444438,0.0,212.88888888888886,319.3333333333333,0.0,17717.83333333333,319.3333333333333,17717.83333333333,17717.83333333333,926.6778424798538,0.0,11.26992529851185,16.904887947767776,0.0,937.9477677783657,16.904887947767776,937.9477677783657,937.9477677783657
16,16798.111111111106,0.0,212.88888888888886,319.3333333333333,0.0,17010.999999999996,319.3333333333333,17010.999999999996,17010.999999999996,888.3189376579114,0.0,11.258005758270167,16.887008637405252,0.0,899.5769434161817,16.887008637405252,899.5769434161817,899.5769434161817
